Pergunta,OpcaoA,OpcaoB,OpcaoC,OpcaoD,Correta
"""E nenhum residente dirá: estou doente. O povo que mora na terra será aquele a quem se perdoa o seu erro. Onde está escrito esse texto?",Isaias 31:24,Mateus 24:14,Romanos 6:12,Apocalipse 21:4,0
A que rei foi dito: tomai a vossa posição ficai parados e vede a salvação da parte de Jeová?,Acazias,Jeosafá,Abias,Jeorão,1
Quais os nomes dos meios irmãos de Jesus Cristo,"Tiago, Jose, Simão e Judas","Marcos, Lucas, João e Mateus","Tiago, Moises, Adão e Davi","Simã, Judas, Marcos e Lucas",0
"Com quantas tribos Roboão, filho de Salomao ficou?",1,2,3,4,1
Quem matou Abel?,Adão,Eva,Sete,Caim,3
Qual o nome do primeiro marido de Bete-Seba?,Davi,Urias,Eliabe,Salomão,2
A troco do que Esaú vendeu sua primogenitura?,Azeite,Mel,Balsamo,Lentilhas,3
Qual jovem ao ser comissionado por Jeová para servir como profeta disse: 'Ai Soberano Senhor Jeová! Eis que sou apenas um rapaz',Isaias,Jeremias,Ezequiel,Ageu,1
Qual o nome do secretário de Jeremias?,Ebimeleque,Jeosafá,Baruque,Acazias,2
Quantas pessoas estavam presentes ao evento que marcou o inicio da escolha dos 144 mil,12,300,144,120,3
Qual foi a segunda praga lançada sobre o Egito?,Rãs,Moscas,Furuncos,Piolho,0
Qual o nome do magico que ofereceu dinheiro aos apostolos para receber autoridade para dar espirito santo com o uso de suas mãos?,Barnabé,Simão,Lucas,Aristarco,1
Qual o atributo de Jeová representado por uma águia,Força,Justiça,Sabedoria,Coragem,0
"Niguem na humanidade pode domar. É uam coisa indiciplina e prejudicial, cheia de veneno. A que Tiago se referia nesta passagem?",Boca,Olhos,Nariz,Lingua,3
De qual tribo veio Jesus?,Judá,Rubem,Benjamim,Manassés,0
O que o numero 3 representa na Biblia?,Nada,Intensidade,Desteza,Força,1
Qual o nome da mãe de Timoteo?,Eunice,Eva,Maria,Rute,0
"Segundo Jesus, iguais a que animais os cristão devem ser para mostar inocencia e cautela?",Pardal e Aguia,Touro e Leão,Pomba e Serpente,Viboa e Rã,2
"Onde está escrito: 'Bem sei, ó Jeová, que o caminho do homem não pertence a ele. Não cabe ao homem nem mesmo dirigir os seus passos.'",1 Corintios 15:33,Salmo 83:18,Jeremias 10:23,Isaias 9:3,2
Qual o nome da mulher de Jope,Maria,Dorcas,Marta,Ligia,1
Quais são os nomes das 7 potencias descrita em Apocalipse,"Egito, Assiria, Babilonia, Medo-Persia, Grecia, Roma, Anglo-Americana","Egito, Siria, Babilonia, Persia, Grecia, Roma, Anglo-Americana","Egito, Assiria, Babilonia, Medo-Persia, Grecia, Roma, Estados Unidos","Egito, Assiria, Babilonia, Medo-Persia, Russia, Roma, Anglo-Americana",0
Qual palavra traduzida significa instrutor,Rabi,Apostolo,Discipulo,Servo,0
Qual o nome do rio que Josué atravessou para chegar na Terra Prometida?,Rio Nilo,Rio Amazonas,Rio Jordão,Rio Doce,2
Qual era a profissão de Raabe?,Guerreira,Pastora,Prostituta,Riscadora de Figos,2
"A quem Jeová disse: ”não lhe ordenei que seja corajoso e forte? Não fique apavorado nem tenha medo ,pois Jeová seu Deus estará com você aonde quer que você for”?",Isaias,Josué,Mical,Moises,1
Complete o texto Biblico sem errar ' felizes os que tem consciência de sua necessidade espiritual....,porque a eles pertencem os céus,porque a eles pertencem a,porque a eles pertencem o ouro,porque a eles pertence o reino das céus.,3
Que tipo de amor retrata a palavra ”Storgé“?,Amor Sexual,Amor Amigo,Amor Familiar,Amor Romantico,2
Qual o nome da filha mais nova de Saul que se tornou a primeira esposa de Davi?,Mical,Ester,Maria,Mara,0
Qual livro bíblico vem depois de hebreus?,Corintios,Tiago,Filipenses,Filemon,1
Qual o nome da moeda romana de prata nos dias do ministério terrestre de Jesus que os lavradores recebiam por um dia de 12 horas de trabalho?,Dolar,Dracna,Denario,Lépton,2
Por que proibia a lei mosaica que se comesse à gordura dos animais?,Pertencia a Jeová,Perntencia ao Fariseus,Pertencia ao Coatitas,Pertencia ao Levitas,0
Qual o nome do sexto livro das escrituras hebraicas?,Exodo,Josué,Levitico,Numeros,1
Qual o nome do profeta designado para proclamar os julgamentos de Jeová contra Nínive?,Malaquias,Zacarias,Jonas,Sofonias,2
Jael cravou uma estaca de tenda a na cabeça de deste chefe de exercito. Quem era esse chefe de exercito?,Jabim,Sisera,Eúde,Baraque,1
Qual livro bíblico vem depois de Filemon?,1 Tessalonicenses,Tiago,Tito,Hebreus,3
Qual o nome do tanque usado para pisar uvas ou azeitonas?,Largar,Bacia,Panelão,Recipiente,0
"Que profeta teve de tomar para si ""uma esposa de fornícação e filhos de fornicação"" para demonstrar a desaprovação de Jeová para com o volúvel de Israel?",Amós,Oseias,Miqueias,Joel,1
Que personagem teve que ficar com as mãos levantadas para que Jeová desse a vitória na batalaha contra os amalequitas?,Arão,Moises,Josué,Hur,1
Que nome se da ao fabricante de panelas e vasos de barro?,Paneleiro,Oleiro,Ferreiro,Cunhador,1
Qual o nome do rebelde que teve relações imora is nn frente ele Moisés e morreu transpassado pelos õrgáos genitais a mão de Fineias?,Zinri,Hur,Eleazar,Arão,0
”mas quem perseverar ate o fim será salvo”. Onde está escrito esse texto?,Mateus 24:13,Mateus 28:5,Mateus 3:16,Lucas 4:44,0
Qual o nome da carta escrita por Paulo as congregações da galáxia?,Filemon,Tito,Galatas,Efésios,2
Qual o nome do fariseu instrutor de Israel a quem Jesus falou sobre a necessidade de nascer de novo a fim de ver o reino de deus?,Zaqueu,Nicodemos,Mateus,Caifas,1
Qual foi a nona praga lançada por Jeová através de Moisés no Egito?,Escuridão,Gafanhoto,Furuncos,Moscões,0
Qual era o reino abastado cuja a rainha fez questão de visitar Salomão por causa de sua sabedoria?,Moabe,Sabá,Egito,Siria,1
Qual é o nome ela mulher por quem Sansão se enamorou e qual coperou com os fisisteus para aprisiona-lo?,Bate-Seba,Eva,Dalila,Jezabel,2
qual o nome da vestimenta usada pelos israelitas para expressar profundo pesar?,Serapilheira,Turbante,Sem mangas,Éfode,0
Por qual outro name era conhecida Edom7 R:Esaú.,Esaú,Isaque,Jacó,Ezequiel,0
Que tipo de amor retrata a palavra a-gá-pe?,Amor Familiar,Amor Sexual,Amor guido por principios,Amor guiado pela lei,2
Que animais devoram Jezabel?,Leões,Hienas,Cães,Porcos,2
Qual foi fundador do primeiro império após o diluvio?,Leonas,Ninrode,Jafé,Saul,1
Qual livro biblico vem depois de Ezequiel?,Lamentações,Oseias,Habacuque,Daniel,3
Qual o nome da esposa idolatra de Acabe ?,Jael,Mical,Mara,Jezabel,3
Qual foi a quarta praga do Egito?,Escuridão,Gafanhoto,Furuncos,Moscões,3
Qual profeta teve a visão carro celestial de Jeová?,Samuel,Ezequiel,Isaias,Jeremias,1
Qual livro bíblico vem depois de 2 Samuel?,1 Samuel,1 Cronicas,Esdras,1 Reis,3
Qual foi a capital do reino setentrional?,Samaria,Isarael,Jerusalem,Siria,0
Qual o nome da espos ade Moisés?,Abigail,Zípora,Raquel,Ana,1
Qual o nome do homem que violou Diná?,Hamor,Siquem,Absalão,Simeão,2
Quantos anos viveu Enoque?,650,356,365,400,2
Jesus Cristo reinara por quanto tempo?,Para sempre,Por pouco tempo,Por 1000 dias,Por 1000 anos,3
Qual livro bíblico vem depois de Colossenses?,1 Timoteo,1 Tessalonicenses,Filipenses,Efésios,1
Onde está escrito: a fé é a firme a firme confiança de que vira oque se espera a demonstração clara de realidades não vistas.,Hebreus 10:24,Efesios 6:4,Malaquias 3:16,Hebreus 11:1,3
Quais sáo os principais atributos de Jeová ?,"amor, poder, justiça e sabedoria.","justiç, forca, energia e sabedoria","poder, justiça, amor e fé","fé, brandura, autodominio, alegria",1
Qual o nome do mar que Moisés abriu para a travessia do povo?,Mar Morto,Mar Egeu,Mar da Galileia,Mar vermelho,0
Onde está escrito : portanto tens e orar do seguinte modo: nosso pai nos céus santificado seja o teu nome,Mateus 6:9,Mateus 6:33,Mateus 24:14,Marcos 1:5,0
Quem foi o escritor do livro de êxodo?,Josue,Moises,Samuel,Esdras,1
Qual o nome das esposas de Jacó que ele demorou 14 anos para obtê-las?,Raquel e Rute,Rute e Noemi,Leia e Raquel,Leia e Noemi,2
Quais eram os altos cargos de Melquisedeque ?,Rei e Sacerdote,Acerdote e Fariseu,Rei e Profeta,Profeta e Sacerdote,0
Qual foi a primeira das 10 pragas no Egito?,Rãs,Nilo virou sangue,Morte dos primogenitos,Furuncos,1
Quem foi o escritor do Livro biblico de Ester?,Anã,Mordecai,Samuel,Paulo,1
"Onde está escrito: ""pois pareceu bem ao espirito santo e a nós não impor a vocés nenhum fardo alem dessas coisas necessárias que persistam em abster de coisas sacrificadas a Ídolos de sangue ...""","Atos 15:28,29",Filepenses 6:4,"Hebreus 11:1,2",Mateus 5:3,1
Qual o nome do marido de Abigail aquela que se tornou posteriormente esposa de Davi?,Melquisedeque,Nabal,Joabe,Absalão,1
Quem foi o escritor bíblico do livro de Efésíos ?,Paulo,Pedro,Judas,Tiago,0
Quem foi o segundo presidente da Sociedade Torre de Vigia de Biblias e Tratados?,Charles T. Russell,Joseph F. Rutherford,Natan H. Knorr,John Groh,1
Em que ano os romanos destruíram completamente Jerusalém?,66,70,89,90,1
Quantos capitulos tem o livro de Apocalipse?,21,22,27,24,1